ID,Name,DraftKings_Position,DraftKings_ADP,DraftKings_Team,Mapped Name,ESPN_Rank,ESPN_Positional_Rank,Team,ESPN_Salary_Cap_Value,Bye Week
1121220,Dante Miller,RB,228.2222,NYG,Dante Miller,,,,,
600191,Darren Waller,TE,228.2936,FA,Darren Waller,,,,,
976329,Michael Carter,RB,228.3415,ARI,Michael Carter,249,RB78,ARI,0,11
1164979,Tre Tucker,WR,228.3458,LV,Tre Tucker,264,WR96,LV,0,10
875649,Donald Parham Jr.,TE,228.3932,LAC,Donald Parham Jr.,,,,,
839043,D'Ernest Johnson,RB,228.4407,JAX,D'Ernest Johnson,250,RB79,JAC,0,12
702808,Mack Hollins,WR,228.46982,BUF,Mack Hollins,,,,,
1126338,Isaac Guerendo,RB,228.4797,SF,Isaac Guerendo,,,,,
1060311,Davis Mills,QB,228.5405,HOU,Davis Mills,,,,,
921050,Kylen Granson,TE,228.5804,IND,Kylen Granson,,,,,
919304,Velus Jones Jr.,WR,228.6667,CHI,Velus Jones Jr.,,,,,
728169,Mitchell Trubisky,QB,228.6857,BUF,Mitchell Trubisky,,,,,
740704,Johnny Mundt,TE,228.6939,MIN,Johnny Mundt,,,,,
694117,Cooper Rush,QB,228.7619,DAL,Cooper Rush,,,,,
1173266,Evan Hull,RB,228.7945,IND,Evan Hull,266,RB82,IND,0,14
976966,Hendon Hooker,QB,228.8095,DET,Hendon Hooker,,,,,
1181874,Tucker Kraft,TE,228.8417,GB,Tucker Kraft,206,TE22,GB,0,10
1164788,Devaughn Vele,WR,228.9429,DEN,Devaughn Vele,,,,,
1164137,Jawhar Jordan,RB,229.0333,HOU,Jawhar Jordan,,,,,
1213251,Jase McClellan,RB,229.0588,ATL,Jase McClellan,,,,,
834195,Jeff Wilson Jr.,RB,229.0594,MIA,Jeff Wilson Jr.,,,,,
1108937,Jaret Patterson,RB,229.17833,LAC,Jaret Patterson,,,,,
946094,Chase Claypool,WR,229.2241,BUF,Chase Claypool,,,,,
399579,Tyrod Taylor,QB,229.3729,NYJ,Tyrod Taylor,318,QB39,NYJ,0,12
1229765,Jaheim Bell,TE,229.4167,NE,Jaheim Bell,,,,,
1218658,Darnell Washington,TE,229.4286,PIT,Darnell Washington,,,,,
882345,Drew Lock,QB,229.4412,NYG,Drew Lock,,,,,
1115394,Tanner Hudson,TE,229.6029,CIN,Tanner Hudson,,,,,
1122323,Lucas Krull,TE,229.6102,DEN,Lucas Krull,,,,,
1213486,Johnny Wilson,WR,229.6336,PHI,Johnny Wilson,,,,,
976236,Trey Sermon,RB,229.69771,IND,Trey Sermon,244,RB73,IND,0,14
820734,Samaje Perine,RB,229.833,DEN,Samaje Perine,214,RB62,DEN,0,14
653699,Michael Thomas,WR,229.9074,FA,Michael Thomas,,,,,
1109758,A.T. Perry,WR,229.9089,NO,A.T. Perry,,,,,
1116817,Emari Demercado,RB,229.94,ARI,Emari Demercado,,,,,
1161664,Davis Allen,TE,230.075,LAR,Davis Allen,,,,,
1228925,Deuce Vaughn,RB,230.0909,DAL,Deuce Vaughn,251,RB80,DAL,0,7
1108052,Zach Wilson,QB,230.2222,DEN,Zach Wilson,,,,,
944428,Irv Smith Jr.,TE,230.2308,KC,Irv Smith Jr.,,,,,
216342,Joe Flacco,QB,230.257,IND,Joe Flacco,319,QB40,IND,0,14
910380,Kyle Trask,QB,230.2609,TB,Kyle Trask,,,,,
1168245,Sam Howell,QB,230.296,SEA,Sam Howell,317,QB38,SEA,0,10
1068803,Bo Melton,WR,230.4483,GB,Bo Melton,,,,,
877784,Ty Johnson,RB,230.4697,BUF,Ty Johnson,242,RB71,BUF,0,12
1164940,Brenton Strange,TE,230.5217,JAX,Brenton Strange,,,,,
1122035,Daniel Bellinger,TE,230.5613,NYG,Daniel Bellinger,289,TE30,NYG,0,11
1163272,Jared Wiley,TE,230.5722,KC,Jared Wiley,,,,,
976528,KJ Hamler,WR,230.5833,BUF,KJ Hamler,,,,,
555648,Jordan Matthews,TE,230.6872,CAR,Jordan Matthews,,,,,
1122596,Jeremy Ruckert,TE,230.7143,NYJ,Jeremy Ruckert,,,,,
1176431,Casey Washington,WR,230.7662,ATL,Casey Washington,,,,,
1059684,Desmond Ridder,QB,230.8235,ARI,Desmond Ridder,,,,,
823220,Mason Rudolph,QB,230.8462,TEN,Mason Rudolph,,,,,
660151,Robert Tonyan,TE,231.16,MIN,Robert Tonyan,,,,,
1164533,Erick All Jr.,TE,231.19188,CIN,Erick All Jr.,,,,,
613866,Carson Wentz,QB,231.193,KC,Carson Wentz,,,,,
837806,Will Dissly,TE,231.195,LAC,Will Dissly,,,,,
691536,Jameis Winston,QB,231.3237,CLE,Jameis Winston,,,,,
741785,Mike White,QB,231.3571,MIA,Mike White,,,,,
1130976,Hunter Luepke,RB,231.3636,DAL,Hunter Luepke,,,,,
1124664,Cedric Tillman,WR,231.45677,CLE,Cedric Tillman,272,WR98,CLE,0,10
1062314,Malik Cunningham,QB,231.8125,BAL,Malik Cunningham,,,,,
1229133,Rasheen Ali,RB,231.8302,BAL,Rasheen Ali,,,,,
1121871,Brevin Jordan,TE,231.8333,HOU,Brevin Jordan,,,,,
604176,Tyler Higbee,TE,231.973,LAR,Tyler Higbee,,,,,
835779,Royce Freeman,RB,232.129,DAL,Royce Freeman,,,,,
555358,Jimmy Garoppolo,QB,232.3571,LAR,Jimmy Garoppolo,,,,,
1214112,Tyler Scott,WR,232.9474,CHI,Tyler Scott,,,,,
865844,Jake Browning,QB,233.0,CIN,Jake Browning,,,,,
1180625,George Holani,RB,233.1818,SEA,George Holani,,,,,
1161661,Anthony Gould,WR,235.1,IND,Anthony Gould,,,,,
