ID,Name,DraftKings_Position,DraftKings_ADP,DraftKings_Team,ESPN_Rank,ESPN_Positional_Rank,overallRating
1218643,Ladd McConkey,WR,94.11174,LAC,107,WR48,74
933480,Rico Dowdle,RB,122.739914,DAL,168,RB52,74
1286513,Jaylen Wright,RB,153.97813,MIA,173,RB57,74
1271738,Jaleel McLaughlin,RB,160.55269,DEN,165,RB49,74
1066424,Jalen Tolbert,WR,174.09996,DAL,211,WR81,74
1286803,Drake Maye,QB,208.21494,NE,268,QB29,74
1160348,John Metchie III,WR,225.0735,HOU,,,74
820866,Braxton Berrios,WR,225.0878,MIA,,,74
832220,Justin Watson,WR,225.15768,KC,,,74
880146,Nyheim Hines,RB,225.5882,CLE,245,RB74,74
1222789,Keaton Mitchell,RB,225.666,BAL,171,RB55,74
881058,K.J. Osborn,WR,227.4396,NE,,,74
691278,Sterling Shepard,WR,227.5789,TB,,,74
1172024,Treylon Burks,WR,228.04851,TEN,,,74
1232592,Michael Mayer,TE,228.1281,LV,,,74
837806,Will Dissly,TE,231.195,LAC,,,74
1166545,Deonte Harty,WR,,BAL,,,74
593305,C.J. Uzomah,TE,,PHI,,,74
823040,Isaiah McKenzie,WR,,NYG,,,74
1322431,Keon Coleman,WR,75.46053,BUF,108,WR49,73
1179790,Luke Musgrave,TE,152.6863,GB,207,TE23,73
1161416,Ricky Pearsall,WR,167.3458,SF,194,WR72,73
727279,Demarcus Robinson,WR,169.11005,LAR,201,WR73,73
1213414,MarShawn Lloyd,RB,174.9667,GB,166,RB50,73
1213865,Quentin Johnston,WR,175.91704,LAC,179,WR65,73
1213257,Bryce Young,QB,185.0768,CAR,198,QB22,73
910852,Greg Dortch,WR,192.41574,ARI,,,73
1232892,Jalin Hyatt,WR,217.34467,NYG,227,WR83,73
867303,Gardner Minshew II,QB,218.44632,LV,296,QB32,73
1161739,Trey Palmer,WR,226.2975,TB,228,WR84,73
750097,Matt Breida,RB,226.375,FA,,,73
1180332,Isaiah Spiller,RB,227.1525,LAC,282,RB89,73
883976,Olamide Zaccheaus,WR,227.4539,WAS,,,73
712506,Mo Alie-Cox,TE,227.9147,IND,,,73
976329,Michael Carter,RB,228.3415,ARI,249,RB78,73
1164979,Tre Tucker,WR,228.3458,LV,264,WR96,73
702808,Mack Hollins,WR,228.46982,BUF,,,73
1068803,Bo Melton,WR,230.4483,GB,,,73
832900,Chase Edmonds,RB,,TB,240,RB69,73
596417,Phillip Dorsett II,WR,,DEN,,,73
606551,Chris Moore,WR,,ARI,,,73
749635,Boston Scott,RB,,LAR,,,73
689689,Pharaoh Brown,TE,,SEA,,,73
1285908,Adonai Mitchell,WR,146.52881,IND,178,WR64,72
1059576,Ty Chandler,RB,146.7817,MIN,119,RB41,72
1116663,Will Levis,QB,162.86617,TEN,219,QB26,72
1287923,Bucky Irving,RB,166.41895,TB,239,RB68,72
1125111,Isaiah Likely,TE,167.73726,BAL,311,TE35,72
1180321,Xavier Legette,WR,170.54785,CAR,140,WR59,72
1165229,Ray Davis,RB,171.78479,BUF,172,RB56,72
1213867,Kendre Miller,RB,201.7959,NO,164,RB48,72
1163265,Roschon Johnson,RB,203.19493,CHI,196,RB59,72
1215035,Tank Bigsby,RB,211.10487,JAX,223,RB65,72
1128085,Greg Dulcich,TE,220.16202,DEN,292,TE33,72
867759,Ray-Ray McCloud III,WR,223.13896,ATL,,,72
976924,Kenny Pickett,QB,224.968,PHI,,,72
