Overall Rank,Positional Rank,Player Name,Team,Salary Cap Value,Bye Week
214,RB62,Samaje Perine,DEN,0,14
221,RB63,Jamaal Williams,NO,0,12
222,RB64,Braelon Allen,NYJ,0,12
223,RB65,Tank Bigsby,JAC,0,12
225,RB66,Kenneth Gainwell,PHI,0,5
226,RB67,Justice Hill,BAL,0,14
239,RB68,Bucky Irving,TB,0,11
240,RB69,Chase Edmonds,TB,0,11
15,RB7,Jahmyr Gibbs,DET,42,5
241,RB70,Eric Gray,NYG,0,11
242,RB71,Ty Johnson,BUF,0,12
243,RB72,Ameer Abdullah,LV,0,10
244,RB73,Trey Sermon,IND,0,14
245,RB74,Nyheim Hines,CLE,0,10
246,RB75,Dameon Pierce,HOU,0,14
247,RB76,Isaiah Davis,NYJ,0,12
248,RB77,D'Onta Foreman,CLE,0,10
249,RB78,Michael Carter,ARI,0,11
250,RB79,D'Ernest Johnson,JAC,0,12
16,RB8,Isiah Pacheco,KC,40,6
251,RB80,Deuce Vaughn,DAL,0,7
265,RB81,Dare Ogunbowale,HOU,0,14
266,RB82,Evan Hull,IND,0,14
276,RB83,AJ Dillon,GB,0,10
277,RB84,Chris Rodriguez Jr.,WAS,0,14
278,RB85,Trayveon Williams,CIN,0,12
279,RB86,Will Shipley,PHI,0,5
280,RB87,Kyle Juszczyk,SF,0,9
281,RB88,Cordarrelle Patterson,PIT,0,9
282,RB89,Isaiah Spiller,LAC,0,5
21,RB9,Travis Etienne Jr.,JAC,34,12
283,RB90,Kenny McIntosh,SEA,0,10
27,TE1,Sam LaPorta,DET,30,5
88,TE10,Jake Ferguson,DAL,3,7
89,TE11,Dallas Goedert,PHI,3,5
90,TE12,T.J. Hockenson,MIN,3,6
131,TE13,Brock Bowers,LV,1,10
132,TE14,Pat Freiermuth,PIT,1,9
133,TE15,Dalton Schultz,HOU,1,14
134,TE16,Cole Kmet,CHI,1,7
139,TE17,Tyler Conklin,NYJ,1,12
185,TE18,Taysom Hill,NO,0,12
186,TE19,Chigoziem Okonkwo,TEN,0,5
28,TE2,Travis Kelce,KC,29,6
187,TE20,Juwan Johnson,NO,0,12
188,TE21,Hunter Henry,NE,0,14
206,TE22,Tucker Kraft,GB,0,10
207,TE23,Luke Musgrave,GB,0,10
215,TE24,Noah Fant,SEA,0,10
216,TE25,Cade Otton,TB,0,11
217,TE26,Hayden Hurst,LAC,0,5
258,TE27,Jonnu Smith,MIA,0,6
259,TE28,Dawson Knox,BUF,0,12
260,TE29,Jelani Woods,IND,0,14
51,TE3,Mark Andrews,BAL,12,14
289,TE30,Daniel Bellinger,NYG,0,11
290,TE31,Ben Sinnott,WAS,0,14
291,TE32,Colby Parkinson,LAR,0,6
292,TE33,Greg Dulcich,DEN,0,14
293,TE34,Zach Ertz,WAS,0,14
59,TE4,Trey McBride,ARI,9,11
60,TE5,Evan Engram,JAC,9,12
68,TE6,George Kittle,SF,6,9
69,TE7,Dalton Kincaid,BUF,6,12
70,TE8,Kyle Pitts,ATL,6,12
87,TE9,David Njoku,CLE,3,10
4,WR1,CeeDee Lamb,DAL,55,7
